"ID_SENSOR","DIRECTION","DATETIME","NUM_VEHICLES","SPEED_MEAN","SPEED_SD","EVENT","LON","LAT"
1,"A","2018-09-03T10:45",340,104.1,14.71,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:00",334,105.8,14.85,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:15",313,107.1,15.1,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:30",418,107.1,15.42,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:45",353,108.1,16.38,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:00",365,103.5,15.39,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:15",410,103.4,17.34,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:30",436,100.4,16.46,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:45",453,102.3,16.39,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:00",465,103.4,18.27,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:15",546,101.3,17.83,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:30",574,100.6,18.8,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:45",564,97.6,17.81,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:00",537,102.1,18.41,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:15",676,100.1,18.01,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:30",618,98.3,18.37,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:45",340,104.1,19.64,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:00",396,101.8,20.05,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:15",452,102.9,19.55,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:30",533,103.5,19.31,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:45",518,103.0,18.18,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T16:00",543,100.9,19.21,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T16:15",584,98.5,18.81,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T16:30",552,101.4,18.42,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T16:45",542,98.2,20.43,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T17:00",518,96.9,16.42,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T17:15",585,96.5,16.34,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T17:30",578,101.0,17.2,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T17:45",525,100.0,17.92,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T18:00",536,97.6,20.36,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T18:15",597,98.6,17.38,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T18:30",646,98.2,17.96,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T18:45",480,97.8,18.16,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T19:00",525,95.4,18.0,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T19:15",585,98.5,18.92,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T19:30",564,95.0,18.17,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T19:45",552,97.1,19.06,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T20:00",485,96.9,21.75,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T20:15",559,94.0,19.37,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T20:30",412,94.5,20.18,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T20:45",140,96.2,21.03,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T21:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T21:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T21:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T21:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T22:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T22:15",,,,"NO_EVENT",12.291754,41.800588
